question,answer,followUp
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","Good to hear that you assessed your mistake as well apart from committing it. So, now do you think that your colleagues were intentionally hiding their mistakes?"
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","Good to see you assessed your mistake. So, now how do you think you could have  turned this failure into a success, given a chance?"
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.","In that case, will you now be confident enough if given a team to conduct a task in the project?"
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.","So, what did you learn from that experience?"
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,When I was deputed to chennai I was in office for 48 hours to meet customer requirement and finaly customer got happy with my efforts .,How did you manage to work 48 hours continuously?
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,When I was deputed to chennai I was in office for 48 hours to meet customer requirement and finaly customer got happy with my efforts .,Well...were you not planning it properly from before?
How do you handle change?,I have learned to be quite accepting of change and am always quickly ready with new plans to handle the changed scenario.,Can you quote an example for the above situation ?
Are you a risk taker or do you stay away from risk?,"I would like to neither agree nor disagree with the fact that I am an absolute risk taker. I prefer calculative risks over instantaneous mindless experiments as these usually turn out to be successful and even if the dont they provide a chance to atleast traceback and determine where I went wrong. So that I dont repeat the same mistake again in the future. But when it comes to situations in which my the failure of my risks are likely to have an adverse effect on the others, I usually refrain myself from taking such risks and like to play it safe in order to ensure their well-being. ",How do you calculate the pros and cons of the risk?
Why should you be hired from outside when someone could be promoted within the same organisation?,"In the organization , most of the employees think that they have got their job and won't have any problem in future.From here on they begin lacking one thing , passion to learn. From what i experienced , the employees don't know about new technologies , ideas and new tools which they should be working on.Whereas the outsider who has been living in this fast growing technology will be knowing these cutting edge technologies much more than the employees.So , at the end the company will get benefit. ",What if I say all our employees still passionate to learn ?
Who has inspired you in your life and why?,"My inspiration for life are my parents, my teachers and a lot of famous personalities like APJ Abdul Kalam, Arnold Schwarztneger, Roger Feder. My parents are my greatest inspiration they taught me how to lead a beautiful life. My teachers fascinated me with knowledge which made me curious and ask question about everything. Especially my plus two teachers who motivated me towards studies. Unlike person I meet in person there are people like Federer whose passion and consistencty and hard work motivated me a lot. And his fighting spirit during failure helped me over come my bad times.",What thing about them inspire you ?
Would you rather be liked or respected?,"That according to me, is a relative question and it depends on the other person. I would like to be respected by people whom I don't have much acquiantence with . Generally my behavior changes when I am with one person to the other. That is because we need to be clearly distinct about what impression of us we wanna be portrayed. So, I would rather be respected by stranger sorta people and liked by people whom I am close with , since , it is with them only that we are our true selves.
\
In a profession I would like to be respected whereas in relationships I believe respect comes complementary to being liked.
\

\
",What if the reverse happens ?
What matters to you more - job satisfaction or salary?,"As far as I am concerned, job satisfaction is more important. I don't think a huge salary alone can keep one satisfied with one's job. If we don't enjoy what we are doing then there is no point in doing what we do and there's no justice done to the work either. ",Do you consider it wrong to do a job which will not give you any satisfaction?
What matters to you more - job satisfaction or salary?,"As far as I am concerned, job satisfaction is more important. I don't think a huge salary alone can keep one satisfied with one's job. If we don't enjoy what we are doing then there is no point in doing what we do and there's no justice done to the work either. ","Provided do have a job satisfaction, are ready to work without salary?"
Why should you be hired?,"I think i should be hired because i am energetic, passionate about work. I would rather live my work rather than just work. Work gives me power, i can learn many new things and yes, i always like proving myself in the tasks which are offered as a challenge. I would like to see my company be at high levels and support the work culture of the company and would always be loyal.",What are skills that you have which suits this job?
Why should you be hired?,"I think i should be hired because i am energetic, passionate about work. I would rather live my work rather than just work. Work gives me power, i can learn many new things and yes, i always like proving myself in the tasks which are offered as a challenge. I would like to see my company be at high levels and support the work culture of the company and would always be loyal.",Will you work for low salary?
"If you have problems at your workplace, how and to whom would you communicate it?","If I am having some problem at my workplace i will first communicate with my team lead, and then i will communicate to HR manager.",Won't you try informing the concerned person?
"If you have problems at your workplace, how and to whom would you communicate it?","If I am having some problem at my workplace i will first communicate with my team lead, and then i will communicate to HR manager.",Won't you try to resolve yourself?
How do you define success and how do you measure upto your own definition? ,Success is a state of life when people saturated with their growth and they became happy in what they have.But the real people never think that they become succeed so they work    till it could be possible.,Do you think that the people for whom certain things were impossible are a failure?
How do you define success and how do you measure upto your own definition? ,Success is a state of life when people saturated with their growth and they became happy in what they have.But the real people never think that they become succeed so they work    till it could be possible.,What are  your  successes to till date?
How do you balance life and work?,"Well this is a very interesting question. I usually dont carry work related stuffs after the office hours, unless it is life threatening :).  I want to spend quality time with my family after office hours. Weekends are like my stress busters. I will go for an outing with my family. That will help my to get refreshed and motivated to work again on monday :). Along with that, I will love to maintain my fitness. Being a morning guy I am going to gym before coming to office. which is a ",What will you do if you need to work beyond office hours?
How do you balance life and work?,"Well this is a very interesting question. I usually dont carry work related stuffs after the office hours, unless it is life threatening :).  I want to spend quality time with my family after office hours. Weekends are like my stress busters. I will go for an outing with my family. That will help my to get refreshed and motivated to work again on monday :). Along with that, I will love to maintain my fitness. Being a morning guy I am going to gym before coming to office. which is a ",Will you be able to work in weekens?
Do you consider yourself successful? Why?,"For now, I can't say because I am still a student. Yes, I have worked for almost an year but I don't have much work experience. I am working on things, doing projects which I feel should be helpful.",How would you define success?
Do you consider yourself successful? Why?,"For now, I can't say because I am still a student. Yes, I have worked for almost an year but I don't have much work experience. I am working on things, doing projects which I feel should be helpful.",When do you think you would call yourself successful?
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,How you manage yourself in a group if you feel your time or efforts are being wasted?
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,What is your next plan if we are not going to hire you?
What has been your greatest leadership achievement in a professional environment?,I don't have much experience of professional environment. But when I was doing internship my work was appreciated by the higher officials of the company which was the good thing.,How would you coordinate with a team?
What has been your greatest leadership achievement in a professional environment?,I don't have much experience of professional environment. But when I was doing internship my work was appreciated by the higher officials of the company which was the good thing.,"If you are a leader of a project group, how would you manage your group?"
"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ",How much time would you dedicate in learning this new skill?
"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ",Will you ever give up if you receive bad criticism from people on your neww skill?
Are you a self-motivator?,"yes. I motivate myself to be happy and active all the time. I avoid being depressed or worried about anything. The main thing that makes me self-motivated is o make my parents to be proud of their daughter and give the all the happiness that they need, which is what that makes me happy and gives me satisfaction in what I do.",How do you manage your emotions?
Are you a self-motivator?,"yes. I motivate myself to be happy and active all the time. I avoid being depressed or worried about anything. The main thing that makes me self-motivated is o make my parents to be proud of their daughter and give the all the happiness that they need, which is what that makes me happy and gives me satisfaction in what I do.",How would you encourage others?
What strategies would you use to motivate your team?,By giving them rewards and recognition and by working with them.,Are you sure that material benefits are a sustainable way to keep your team motivated?
What motivates you to do a good job?,"I am not a kind of person who just lives and dies, but I am a kind of person who want to live a great and exemplary life. I want to be a part of good change that is required in the society and the world that remains in history.","Sure that's a very idealistic answer, but in a company with thousands of employees it is difficult to gauge the impact of your work in it, let alone in history. Would you still be motivated to do a good job?"
How will you make the best of this job?,My goal is to learn and explore more about the technologies and I am getting a very good platform by this job. I will try to explore more and while exploring more I will apply the knowledge which I had from my past experience. ,Can you be a little more specific as to what you kind of things you want to explore?
What has been the most stressful situation you have ever found yourself in at work? How did you handle it?,"The mot stressful situation I found in my work was when I was deployed into a project and that was using a framework I was not knowing much about. I had to spent lot of time learn that framework and had to concern lot of people working on that framework. That framework was a hybrid of Hibernate framework in Java with some SAP based framework. However, giving time to it and working hard on it, in some time I became handy with those concepts.","Okay. But can you give me an example where there were some greater stakes involved, such as some deadline you had to meet?"
What are your outside interests?,"Well its a little ambigous question as i dont fully understand the meaning of outside. Will try to answer from what i have understood.
\
So apart from sketching , surfing net, i love to read novels. I am a die hard fan of fictions. I also love to solve puzzles like sudoku, crosswords in my free time. My outdoor interests include shopping, visiting new places, going out with friends, etc",What kind of fiction do you read?
What is the difference between confidence and over-confidence?,Confidence is one person believing in oneself and his abilities and over-confidence is to have misconceptions about these. Confidence requires a person to evaluate himself really well and accurately. Overconfidence is a person thinking that he can do something even though he can't. ,Are you confident coming to this interview?
Describe a difficult work situation / project and how you overcame it.,"During my summer internship, there were a lot of things to be installed. After the intstallation I had to learn a lot of things. My laptop used to get stuck frequently. There was nothing I could do with my laptop, but to see it getting stuck. I tried a lot of things, tried google-ing for help, took help from my seniors, but everything went in vain. I had almost lost hope on finishing my project, because two weeks had already got over. That is the time when I tried getting back into form, not worrying about anything else",So what all were the thoughts that helped you get back into form?
What are the strategies you think one should have to perform well in such an interview?,"Firstly, impress the interviewer with good communication skills.
Appear calm and composed. Give answers in a simple manner. Don't appear aggressive or overbearing. 
Be well prepared and have a sound technical knowledge.",What about showing your true self to the interviewer?
What are the strategies you think one should have to perform well in such an interview?,"Frankly speaking, this is my third interview. So, I am kind of amateur in all this interview process, that's why I am also trying to figure out answer to above question","Since this is your third interview, won't you agree that you have had some experience?"
How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.
\
",How can you prove this?
How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,Give a senario where you can prove your words?
"Are you an organised or a disorganised person, in what ways?","I think most of the time I am an organized person as I set goals for myself and ensure to complete them within stipulated time. I manage my time by making targets for myself and setting up deadlines and make sure to review my work on daily basis. I balance my schedule between academics, physical activities and social activities. Along with my career and academics, I pay proper attention towards my health  and family.","Since you said that 'most of the time', so mention such a situation when you were not able to do so?"
"Are you an organised or a disorganised person, in what ways?","I think most of the time I am an organized person as I set goals for myself and ensure to complete them within stipulated time. I manage my time by making targets for myself and setting up deadlines and make sure to review my work on daily basis. I balance my schedule between academics, physical activities and social activities. Along with my career and academics, I pay proper attention towards my health  and family.","These seem like ideal case scenario, what about when you are under pressure or stress?"
How would you convince your client with your ideas?,I would first tell him why he needs the product and how the product would make a difference to his life and how he can't do without the product. Then i would show that i have the skillset to develop such a product,"Skill set will never convince a client because others also have the skill to develop, so why would the client come to you only?"
What are your outside interests?,"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",What kind of blogs do you read and what did you learn from it?
What motivates you to do a good job?,"Self competition ,That mainly motivates,I want to do more and more better work and In continuos competition to become more better as I used to be.","This way you will always keep running for things, won't this be harmful for the organisation and you at some point of time?"
How do you handle change?,"By staying steady and thinking some positives..Looking at my goal in life, I agree certain changes, when it happens in my life",Could you explain how you managed changes in your past?
Why should you be hired?,I am having good knowledge of my field which rich industry experience of live projects.I can work in a team and adapts to the environment very quickly.,Are you willing to work in a new domain if required?
Tell me about a time when you misjudged a person.,"I have been a firm believer of sound class room training before you undertake a project. In my first job as a commissioning engineer, I was shipped off to site in my third month. I felt my manager just doesnt want to invest  in my training and thus complained to my HR. But little did I know that my manager had planned a  detailed session  for me once i returned. He felt that unless i have an appreciation of the product and the system, i will only be confined to academic knowledge, which is true. The training was extremely useful and i could relate far better with my domain thereafter.",Did you speak with your manager before meeting HR ?
Why should you be hired from outside when someone could be promoted within the same organisation?,"It's always better to promote someone from inside rather than take a person from outside, but when we work in an organization for so long we tends to think the same way and we become very much comfortable, some time we need someone to think differently who is experienced or worked in other environment.",Could you please explain your suitability to our organisation in this aspect?
 Why shouldn't I hire you?,"Yea, I think you don't have any reason to not hire me. So, please do hire me.","Give me three reasons, why I should  hire you?"
How do you define success and how do you measure upto your own definition? ,"According to me success is a state which a person reaches when he/she has fulfilled their dreams and no longer has to think about what to do next. Since it's a state, you either be in that state or you are not in that state, it is binary. so as per my definition i measure 0, i have not yet reached that state. But i am sure that i am on the right path to reach it.","So, reaching this interview stage doesn't count as a success?"
How do you define success and how do you measure upto your own definition? ,"According to me success is a state which a person reaches when he/she has fulfilled their dreams and no longer has to think about what to do next. Since it's a state, you either be in that state or you are not in that state, it is binary. so as per my definition i measure 0, i have not yet reached that state. But i am sure that i am on the right path to reach it.",When do you think you will reach the success state?
Tell me about a time you took the lead in a team project. What was the project outcome?,I was leading a couple of people when I was organising an event. Basically there's was a prize money for the best event. I led the whole team. I worked with the juniors and did work along with them apart from leading them. That made them work harder as besides being a senior I was doing their work. Helping them out when they were tired. That eventually acted as  the motivation for the whole team. Finally we won the event.,"Suppose there was no prize for the best event, what would your attitude be then?"
Tell me about a time you took the lead in a team project. What was the project outcome?,I was leading a couple of people when I was organising an event. Basically there's was a prize money for the best event. I led the whole team. I worked with the juniors and did work along with them apart from leading them. That made them work harder as besides being a senior I was doing their work. Helping them out when they were tired. That eventually acted as  the motivation for the whole team. Finally we won the event.,Were you also not tired?
Give an example of a goal you didn't meet and how you handled it.,"My goal was to perform well in my BITSAT and get into BITS Pilani Hyderabad Campus,. I couldn't achieve that because of my poor performance in BITSAT. I was a little depressed but this helped perform well in my Mains, and I was very successful indeed. I finally joined in IIIT Bangalore, though I wanted to stay close to home, my dream of studying in a prestigious college came true.",How exactly did being depressed help you?
Give an example of a goal you didn't meet and how you handled it.,"My goal was to perform well in my BITSAT and get into BITS Pilani Hyderabad Campus,. I couldn't achieve that because of my poor performance in BITSAT. I was a little depressed but this helped perform well in my Mains, and I was very successful indeed. I finally joined in IIIT Bangalore, though I wanted to stay close to home, my dream of studying in a prestigious college came true.",Which subject(s) did you not do well in at BITSAT?
What are your passions?,"reading all kinds of books, fiction and non-fiction, especially mysteries and thrillers. I like to jog and dance. I like to watch movies and tv series a lot.",Did you take dancing classes?
 Why shouldn't I hire you?,Well about that you can be the best judge . May be i am not aware of few technologies at present but in future when the need arises i will master them as well,Is there any technology used in our organization which you think you are not aware of?
 Why shouldn't I hire you?,Well about that you can be the best judge . May be i am not aware of few technologies at present but in future when the need arises i will master them as well,Which are the technologies you feel you need to be more aware of?
Give an example of your creativity.,"i cant have perception to be creative,but some of my thoughts seems to be creative.one such example is the attitude i have towards others,every work others do either positive or negative,i hope there is some reason behind it,taking it in a creative way,may be it doesn't look creative,creativity is defined to me like this.",Can you be more specific with the answer?
Give an example of your creativity.,"i cant have perception to be creative,but some of my thoughts seems to be creative.one such example is the attitude i have towards others,every work others do either positive or negative,i hope there is some reason behind it,taking it in a creative way,may be it doesn't look creative,creativity is defined to me like this.",Creativity is also like a skill which comes by practice. Are you willing to work towards it?
Where do you see yourself five years from now?,I see myself as a successful woman engineer in the entrepreneurial market. I would like to see myself as very successful person and woman in the world. My wish is to work with Google and develop new things. ,How do you define a successful person?
"If you could relive the last 10 years of your life, what would you do differently?","I would prepare for my IITJEE and AIEEE exam in a more matured way. I would manage my time in a much better way (than i had done before) in utilizing it for playing various games of my interests, learn music (which i always regret for not learning it) and last but not the least learn how to be active in the public involving myself in group discussions, debates and many such things. I would also spend time in going for a trip atleast once in a year with my family.",Are you now working towards those changes?
"If you could relive the last 10 years of your life, what would you do differently?","I would prepare for my IITJEE and AIEEE exam in a more matured way. I would manage my time in a much better way (than i had done before) in utilizing it for playing various games of my interests, learn music (which i always regret for not learning it) and last but not the least learn how to be active in the public involving myself in group discussions, debates and many such things. I would also spend time in going for a trip atleast once in a year with my family.",These are something which you can change even now. How are you working towards achieving those?
Why will you resign from a job?,"may be family issue, health issue, workplace environment and may be lack of interest in the particular assigned work.",Should you not be going to the management with a change of work request first?
Why will you resign from a job?,"may be family issue, health issue, workplace environment and may be lack of interest in the particular assigned work.",What do you expect from your workplace environment?
Describe a decision you made that was a failure. What happened and why?,"They say when you look back at life, you never regret the things you did but the things that you did not do. Art to me was a passion since my childhood. When I came of age to decide my career path, a part of me wanted to become an architect. But I was also good at science and math and programming. I was advised by several family and teachers to make a wise decision. We were then in a deep financial crisis and I chose the financially most promising path. Sometimes, I still wonder if that was the right decision to make.",Did you succumb to your family pressure?
Describe a decision you made that was a failure. What happened and why?,"They say when you look back at life, you never regret the things you did but the things that you did not do. Art to me was a passion since my childhood. When I came of age to decide my career path, a part of me wanted to become an architect. But I was also good at science and math and programming. I was advised by several family and teachers to make a wise decision. We were then in a deep financial crisis and I chose the financially most promising path. Sometimes, I still wonder if that was the right decision to make.",Do you consider this decision as a failure?
Describe a difficult work situation / project and how you overcame it.,"In one of my projects there's a  very short span of time in which we have to complete it. my teammates are taking a lot of pressure of time because of which they have lost their cool head and not able to work properly. So i tried to calm then down by saying we can do it. we are capable of doing this thing in time. I also said them don't take pressure as long as we are giving our 100 percent to achieve it, it should be fine there",Did you take the lead among your teammates and how?
Describe a difficult work situation / project and how you overcame it.,"In one of my projects there's a  very short span of time in which we have to complete it. my teammates are taking a lot of pressure of time because of which they have lost their cool head and not able to work properly. So i tried to calm then down by saying we can do it. we are capable of doing this thing in time. I also said them don't take pressure as long as we are giving our 100 percent to achieve it, it should be fine there",Did you use any scheduling techniques to complete the project in short span of time?
Would you rather be liked or respected?,It depends on situation. Normally Around friends I would love to be liked. ,What about in your professional network?
Would you rather be liked or respected?,It depends on situation. Normally Around friends I would love to be liked. ,Why do you prefer to be liked?
How will you perform under pressure? Will it affect your performance?,"No really , actually in pressure i tend to work faster with less mistakes. ",Doesn't pressure push you to the brink of exhaustion?
How will you perform under pressure? Will it affect your performance?,"No really , actually in pressure i tend to work faster with less mistakes. ",What is your maximum threshold for pressure?
What has been the most stressful situation you have ever found yourself in at work? How did you handle it?,"The mot stressful situation I found in my work was when I was deployed into a project and that was using a framework I was not knowing much about. I had to spent lot of time learn that framework and had to concern lot of people working on that framework. That framework was a hybrid of Hibernate framework in Java with some SAP based framework. However, giving time to it and working hard on it, in some time I became handy with those concepts.",How did you learn that new framework?
What has been the most stressful situation you have ever found yourself in at work? How did you handle it?,"The mot stressful situation I found in my work was when I was deployed into a project and that was using a framework I was not knowing much about. I had to spent lot of time learn that framework and had to concern lot of people working on that framework. That framework was a hybrid of Hibernate framework in Java with some SAP based framework. However, giving time to it and working hard on it, in some time I became handy with those concepts.",How did you manage time to complete the project when you had to learn something from scratch?
What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.
\
1.Patience. (I have a lot of patience.)
\
2.Less ego.(Too less.) 
\
3.Acting silly in few situations.
\
4.Not thinking twice before doing few things.
\
5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)
\
6.Getting too excited for small things.",Do you acknowledge their criticism and work towards changing your habits?
What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.
\
1.Patience. (I have a lot of patience.)
\
2.Less ego.(Too less.) 
\
3.Acting silly in few situations.
\
4.Not thinking twice before doing few things.
\
5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)
\
6.Getting too excited for small things.",How do you reciprocate to these criticisms?
How do you balance life and work?,"I am very poor at balancing life and work. During my  software engineering career of 12 years in Oracle, Yahoo and Microsoft, this has always challenge.  However few things I can think of is to stay near your workplace, after reaching home don't think about work too much so that you can enjoy the time with your family and friends. It is important to have attend or arrrange family and friends get",How do you think you can get better at balancing work and life?
How do you balance life and work?,"I am very poor at balancing life and work. During my  software engineering career of 12 years in Oracle, Yahoo and Microsoft, this has always challenge.  However few things I can think of is to stay near your workplace, after reaching home don't think about work too much so that you can enjoy the time with your family and friends. It is important to have attend or arrrange family and friends get",How would you prioritize tasks between work and life?
What are your outside interests?,I like to explore mythology in the country. I like workouts and exploring different cuisines. I like solving different problems in math and science. I like exploring astronomy.,What are you interests outside work that benefits your career?
Who has inspired you in your life and why?,"My family has mostly inspired me especially my father and my aunt.My father from the past 25 years does his job very well he goes in mrng at 9 and returns by 10 in the night,but he is never tired of it and never complasins about it.He is very dedicated to his work and punctual.For him work comes first.My aunt, inspite of having financial problems and not very good education she struggled to make a good platform for herself and now she works in one of the most prestigious company.",Has that inspiration changed the way you approach problems?
Who has inspired you in your life and why?,"My family has mostly inspired me especially my father and my aunt.My father from the past 25 years does his job very well he goes in mrng at 9 and returns by 10 in the night,but he is never tired of it and never complasins about it.He is very dedicated to his work and punctual.For him work comes first.My aunt, inspite of having financial problems and not very good education she struggled to make a good platform for herself and now she works in one of the most prestigious company.",How do you think you can inspire others?
What are your passions?,"Apart from my studies, i want to visit new places in the world. I also have a diehard feeling to go on a roadtrip in spain just like the movie zindigi na milegi dubaara. 
\
I also wish to develop games and other software in computer science. Apart from these i also want to continue with building various others stuffs like the water level sensor i discussed about in my intro. thses electronic stuff fascinate me alot!!  ",What are the other things ?
How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.
\
",Give instances for each.
Would you rather be liked or respected?,"I want to be more respected.If I get respected,I will automatically get liked by those people as Only those people will respect you,who knows you better,who like you .",Are u ready to do what it takes to be respected?
Give an example of your creativity.,If you want to know how to make someone smile keep reading till the end of the line....good now read again.,What are your hobbies?
Describe a difficult work situation / project and how you overcame it.,"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product.  I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.    ",How did you break the task into smaller sub tasks?
Tell me about a time when you misjudged a person.,"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.",How was your reaction to criticisms?
What are your passions?,"Music! From my childhood to till date, the most important thing to me is music. Whenever i feel lonely, i may prefer singing or listening to music. I like any kind of music irrespective of many languages. most of the times i can connect to any kind of music. i also play keyboard. If i wouldn't have taken computer science i might have taken up a profession related to music. Apart from that, i also love swimming. Every summer, i join swimming classes and end up leaning  ",What are the types of music you enjoy listening?
Do you consider yourself successful? Why?,Not yet as there is lots to achieve in terms of gaining knowledge and excellence,What kind of knowledge?
Do you regret any decision in your life?,"Sometimes I regret the feeling of not expressing my views to anyone.I don't like to hurt the feelings of someone and take on the guilt of them.I want to tell them on their face but couldn't do it.I regret that feeling so much.That kind of decisions I make every time in those type of situations , I regret them a lot.I tried to change myself but couldn't .Those are the decisions I regret the most.",What is the best decision taken in your life?
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"When I was working with Cognizant, there were times when there was an increase in the work load because of unanticipated events. This happened more than once when I was working. In such situations, I at a few times, took up additional work, for example, of modifying a piece of software which was used to automate the testing process by the whole team. I also took initiatives to work on harder and more complex modules and that I think helped our team to meet the deadlines and goals at such tough times.",What languages you used to automate testing?
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"When I was working with Cognizant, there were times when there was an increase in the work load because of unanticipated events. This happened more than once when I was working. In such situations, I at a few times, took up additional work, for example, of modifying a piece of software which was used to automate the testing process by the whole team. I also took initiatives to work on harder and more complex modules and that I think helped our team to meet the deadlines and goals at such tough times.",Which are the modules which worked on?
"If you could learn some new skill, what would that be?","Public Speaking on Social front, Latest technologies in Technical front and Painting on personal front. ",Have you done any public speaking before?
"If you could learn some new skill, what would that be?","Public Speaking on Social front, Latest technologies in Technical front and Painting on personal front. ",What are the new technologies that you would like to learn?
